true,pred,error
-56647.48828125,-57005.71484375,358.2265625
-56093.07421875,-56521.40234375,428.328125
-106171.7265625,-104634.7578125,-1536.96875
-88697.4453125,-88519.0859375,-178.359375
-64409.359375,-64547.296875,137.9375
-99492.3515625,-99087.1328125,-405.21875
-97115.90625,-97090.296875,-25.609375
-97930.4921875,-97837.6171875,-92.875
-55271.07421875,-55660.33984375,389.265625
-54272.32421875,-54901.23828125,628.9140625
-63948.1640625,-64185.25390625,237.08984375
-55178.2265625,-55818.81640625,640.58984375
-63870.9375,-64007.3046875,136.3671875
-99039.3515625,-98749.8671875,-289.484375
-88789.3671875,-88699.734375,-89.6328125
-97930.4375,-97837.375,-93.0625
-63769.63671875,-64007.671875,238.03515625
-64049.35546875,-64148.00390625,98.6484375
-90158.171875,-89951.671875,-206.5
-64409.20703125,-64554.31640625,145.109375
-64417.50390625,-64620.359375,202.85546875
-63426.0234375,-63674.60546875,248.58203125
-55169.09765625,-55712.0,542.90234375
-98937.9609375,-98641.84375,-296.1171875
-55732.8125,-56258.58984375,525.77734375
-55640.16015625,-56037.8984375,397.73828125
-65869.484375,-65841.046875,-28.4375
-55632.0,-55919.1875,287.1875
-97569.3125,-97455.5546875,-113.7578125
-54263.30078125,-54789.59765625,526.296875
-64861.76953125,-64912.5546875,50.78515625
-74217.03125,-74254.296875,37.265625
-97477.0078125,-97479.8203125,2.8125
-65323.67578125,-65492.58984375,168.9140625
-56084.1640625,-56401.65234375,317.48828125
-64433.11328125,-64648.87890625,215.765625
-64324.08203125,-64544.90234375,220.8203125
-98031.703125,-97936.7109375,-94.9921875
-89150.9140625,-88982.8125,-168.1015625
-53708.06640625,-54397.66796875,689.6015625
-56647.7890625,-57000.171875,352.3828125
-63870.5625,-64015.25390625,144.69140625
-54725.296875,-55350.85546875,625.55859375
-64323.65234375,-64487.7109375,164.05859375
-54615.09375,-55316.46875,701.375
-57101.41015625,-57511.00390625,409.59375
-98484.4140625,-98289.0703125,-195.34375
-55724.15625,-56142.4375,418.28125
-56536.82421875,-56904.8984375,368.07421875
-64417.17578125,-64668.56640625,251.390625
-56193.953125,-56508.21875,314.265625
-88789.984375,-88693.2421875,-96.7421875
-65424.4296875,-65498.40234375,73.97265625
